actual,predicted,error,brand,model,age
49990,63780.0,-13790.2421875,porsche,Porsche Cayenne,7
122900,133692.0,-10792.0,porsche,Porsche 991,7
5700,4963.0,737.23828125,skoda,Skoda Octavia,15
29390,33485.0,-4095.08203125,seat,SEAT Arona,1
13600,13731.0,-130.53515625,dacia,Dacia Sandero,4
5999,6462.0,-463.39208984375,volkswagen,Volkswagen Golf,16
22300,23565.0,-1264.53125,volkswagen,Volkswagen Golf,6
12950,14830.0,-1880.3486328125,volvo,Volvo V40,10
20590,21214.0,-624.384765625,seat,SEAT Ibiza,2
1999,1939.0,59.6630859375,ford,Ford Fiesta,17
3450,5579.0,-2129.40185546875,kia,Kia Picanto,10
13890,12995.0,894.80078125,nissan,Nissan NV300,6
23460,19226.0,4234.380859375,jeep,Jeep Compass,5
23999,27060.0,-3061.15234375,mercedes-benz,Mercedes-Benz CLA 200,7
71210,71084.0,125.9765625,volkswagen,Volkswagen T6.1 California,2
9990,11475.0,-1485.001953125,peugeot,Peugeot 3008,12
20999,24856.0,-3856.95703125,hyundai,Hyundai i30,6
8350,7821.0,528.9814453125,volkswagen,Volkswagen up!,11
6400,11277.0,-4876.5107421875,volkswagen,Volkswagen Passat,12
14999,19666.0,-4667.240234375,seat,SEAT Leon,4
20860,16173.0,4686.5009765625,seat,SEAT Arona,6
26045,26545.0,-500.173828125,renault,Renault Kangoo,2
21500,18243.0,3256.705078125,audi,Audi Q2,6
14900,15367.0,-467.240234375,renault,Renault Kadjar,8
2700,2255.0,445.165771484375,ford,Ford Mondeo,19
5500,7427.0,-1926.716796875,fiat,Fiat Doblo,12
12990,12688.0,302.376953125,audi,Audi A3,10
65000,55305.0,9695.0,audi,Audi A7,6
1550,2951.0,-1401.091064453125,bmw,BMW 316,22
26280,23664.0,2615.716796875,bmw,BMW 118,4
19990,21436.0,-1445.90234375,volkswagen,Volkswagen Golf Sportsvan,6
15980,12526.0,3454.244140625,mercedes-benz,Mercedes-Benz A 180,12
34490,31364.0,3125.841796875,volkswagen,Volkswagen Golf,7
