actual,predicted,error,brand,model,age
4000,2347.0,1652.6638971294415,bmw,BMW 116,14
17000,24517.0,-7517.443239066204,volkswagen,Volkswagen Beetle,11
5900,5911.0,-10.723236366964557,opel,Opel Astra,16
10850,4542.0,6308.015002839253,ford,Ford Transit,15
11600,14766.0,-3166.1895359356768,volkswagen,Volkswagen CC,10
49990,78938.0,-28948.483020582906,porsche,Porsche Cayenne,7
122900,138879.0,-15978.793157213164,porsche,Porsche 991,7
5700,932.0,4768.102899567777,skoda,Skoda Octavia,15
29390,35234.0,-5843.604714518311,seat,SEAT Arona,1
13600,14201.0,-600.6170002473154,dacia,Dacia Sandero,4
5999,5366.0,633.0841600035019,volkswagen,Volkswagen Golf,16
22300,26495.0,-4194.728234371236,volkswagen,Volkswagen Golf,6
12950,21000.0,-8050.182058305389,volvo,Volvo V40,10
20590,20853.0,-263.16863450089295,seat,SEAT Ibiza,2
1999,-3885.0,5884.404871926858,ford,Ford Fiesta,17
3450,-3986.0,7435.911017024591,kia,Kia Picanto,10
13890,5128.0,8761.773658325808,nissan,Nissan NV300,6
23460,20939.0,2520.9065749328365,jeep,Jeep Compass,5
23999,26361.0,-2361.586822254536,mercedes-benz,Mercedes-Benz CLA 200,7
71210,51994.0,19215.863880352634,volkswagen,Volkswagen T6.1 California,2
9990,13789.0,-3799.0714029177543,peugeot,Peugeot 3008,12
20999,37601.0,-16601.78144231302,hyundai,Hyundai i30,6
8350,10334.0,-1983.7421457011005,volkswagen,Volkswagen up!,11
6400,14971.0,-8570.604473440562,volkswagen,Volkswagen Passat,12
14999,18714.0,-3714.716032477081,seat,SEAT Leon,4
20860,18517.0,2343.2039605564787,seat,SEAT Arona,6
26045,30822.0,-4777.112915826376,renault,Renault Kangoo,2
21500,16846.0,4653.825692837323,audi,Audi Q2,6
14900,19492.0,-4592.243922434329,renault,Renault Kadjar,8
2700,-2442.0,5142.292654355479,ford,Ford Mondeo,19
5500,4711.0,788.7782045167114,fiat,Fiat Doblo,12
12990,14838.0,-1847.8591124461364,audi,Audi A3,10
65000,67299.0,-2298.95028790622,audi,Audi A7,6
1550,-9520.0,11069.954462375557,bmw,BMW 316,22
26280,24485.0,1794.8103902528237,bmw,BMW 118,4
19990,21907.0,-1916.8620122909851,volkswagen,Volkswagen Golf Sportsvan,6
15980,14284.0,1696.3962321204417,mercedes-benz,Mercedes-Benz A 180,12
34490,47446.0,-12955.569812740752,volkswagen,Volkswagen Golf,7
12300,11038.0,1262.3874556220799,bmw,BMW 116,11
37500,70729.0,-33229.18308236849,bmw,BMW 650,8
28885,32258.0,-3372.6739585338655,bmw,BMW X2,6
8900,8316.0,584.4065514145841,volkswagen,Volkswagen Golf Plus,13
12800,14212.0,-1411.7132720249683,fiat,Fiat 500C,8
16440,12119.0,4320.894709766853,audi,Audi A3,10
30190,28934.0,1256.3365952456006,kia,Kia XCeed,1
15950,23074.0,-7124.232444324174,skoda,Skoda Fabia,4
21480,35270.0,-13790.117125424338,seat,SEAT Tarraco,1
27080,25940.0,1139.8538462160868,seat,SEAT Arona,1
17890,22817.0,-4926.641443131841,toyota,Toyota Yaris,1
38990,38338.0,652.1804652480496,mercedes-benz,Mercedes-Benz C 300,7
14799,9851.0,4947.777662770239,ford,Ford Transit,7
